"code","id","name","geo_id","province_id"
"1001",1,"เขตพระนคร",2,1
"1002",2,"เขตดุสิต",2,1
"1003",3,"เขตหนองจอก",2,1
"1004",4,"เขตบางรัก",2,1
"1005",5,"เขตบางเขน",2,1
"1006",6,"เขตบางกะปิ",2,1
"1007",7,"เขตปทุมวัน",2,1
"1008",8,"เขตป้อมปราบศัตรูพ่าย",2,1
"1009",9,"เขตพระโขนง",2,1
"1010",10,"เขตมีนบุรี",2,1
"1011",11,"เขตลาดกระบัง",2,1
"1012",12,"เขตยานนาวา",2,1
"1013",13,"เขตสัมพันธวงศ์",2,1
"1014",14,"เขตพญาไท",2,1
"1015",15,"เขตธนบุรี",2,1
"1016",16,"เขตบางกอกใหญ่",2,1
"1017",17,"เขตห้วยขวาง",2,1
"1018",18,"เขตคลองสาน",2,1
"1019",19,"เขตตลิ่งชัน",2,1
"1020",20,"เขตบางกอกน้อย",2,1
"1021",21,"เขตบางขุนเทียน",2,1
"1022",22,"เขตภาษีเจริญ",2,1
"1023",23,"เขตหนองแขม",2,1
"1024",24,"เขตราษฎร์บูรณะ",2,1
"1025",25,"เขตบางพลัด",2,1
"1026",26,"เขตดินแดง",2,1
"1027",27,"เขตบึงกุ่ม",2,1
"1028",28,"เขตสาทร",2,1
"1029",29,"เขตบางซื่อ",2,1
"1030",30,"เขตจตุจักร",2,1
"1031",31,"เขตบางคอแหลม",2,1
"1032",32,"เขตประเวศ",2,1
"1033",33,"เขตคลองเตย",2,1
"1034",34,"เขตสวนหลวง",2,1
"1035",35,"เขตจอมทอง",2,1
"1036",36,"เขตดอนเมือง",2,1
"1037",37,"เขตราชเทวี",2,1
"1038",38,"เขตลาดพร้าว",2,1
"1039",39,"เขตวัฒนา",2,1
"1040",40,"เขตบางแค",2,1
"1041",41,"เขตหลักสี่",2,1
"1042",42,"เขตสายไหม",2,1
"1043",43,"เขตคันนายาว",2,1
"1044",44,"เขตสะพานสูง",2,1
"1045",45,"เขตวังทองหลาง",2,1
"1046",46,"เขตคลองสามวา",2,1
"1047",47,"เขตบางนา",2,1
"1048",48,"เขตทวีวัฒนา",2,1
"1049",49,"เขตทุ่งครุ",2,1
"1050",50,"เขตบางบอน",2,1
"1081",51,"*บ้านทะวาย",2,1
"1101",52,"เมืองสมุทรปราการ",2,2
"1102",53,"บางบ่อ",2,2
"1103",54,"บางพลี",2,2
"1104",55,"พระประแดง",2,2
"1105",56,"พระสมุทรเจดีย์",2,2
"1106",57,"บางเสาธง",2,2
"1201",58,"เมืองนนทบุรี",2,3
"1202",59,"บางกรวย",2,3
"1203",60,"บางใหญ่",2,3
"1204",61,"บางบัวทอง",2,3
"1205",62,"ไทรน้อย",2,3
"1206",63,"ปากเกร็ด",2,3
"1251",64,"เทศบาลนครนนทบุรี (สาขาแขวงท่าทราย)*",2,3
"1297",65,"เทศบาลเมืองปากเกร็ด*",2,3
"1301",66,"เมืองปทุมธานี",2,4
"1302",67,"คลองหลวง",2,4
"1303",68,"ธัญบุรี",2,4
"1304",69,"หนองเสือ",2,4
"1305",70,"ลาดหลุมแก้ว",2,4
"1306",71,"ลำลูกกา",2,4
"1307",72,"สามโคก",2,4
"1351",73,"ลำลูกกา (สาขาตำบลคูคต)*",2,4
"1401",74,"พระนครศรีอยุธยา",2,5
"1402",75,"ท่าเรือ",2,5
"1403",76,"นครหลวง",2,5
"1404",77,"บางไทร",2,5
"1405",78,"บางบาล",2,5
"1406",79,"บางปะอิน",2,5
"1407",80,"บางปะหัน",2,5
"1408",81,"ผักไห่",2,5
"1409",82,"ภาชี",2,5
